S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,191,PATEL ANTAR SINGH,Bahujan Samaj Party,3700,5,3705,1.97
2,191,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,83311,453,83764,44.63
3,191,MUKESH PATEL,Indian National Congress,79022,1019,80041,42.65
4,191,Nawal Singh Mandloi,Independent,2691,15,2706,1.44
5,191,SURENDRA THAKRALA,Independent,11288,73,11361,6.05
6,191,HIRLA CHOUHAN,Independent,2268,7,2275,1.21
7,191,NOTA,None of the Above,3803,11,3814,2.03
8,223,DR. CHINTAMANI MALVIYA,Bharatiya Janata Party,106439,323,106762,57.44
9,223,MANOJ CHAWLA,Indian National Congress,33138,427,33565,18.06
10,223,GOVARDHAN PARMAR,Aazad Samaj Party (Kanshi Ram),3411,6,3417,1.84
11,223,PUSHPENDRA SURYWANSHI HATPIPLIYA,Peoples Party of India (Democratic),362,3,365,0.2
12,223,KISHOR MALVIYA,Independent,195,0,195,0.1
13,223,NAGULAL,Independent,348,2,350,0.19
14,223,PRAHALAD VERMA,Independent,467,0,467,0.25
15,223,PREMCHANDRA GUDDU,Independent,37763,115,37878,20.38
16,223,LAXMAN CHANDRAVANSHI,Independent,974,1,975,0.52
17,223,NOTA,None of the Above,1895,4,1899,1.02
18,66,CHHANGELAL KOL,Bahujan Samaj Party,21208,109,21317,11.51
19,66,Dr. RAJENDRA KUMAR SINGH,Indian National Congress,79907,1042,80949,43.72
20,66,RAMKHELAWAN PATEL,Bharatiya Janata Party,74017,442,74459,40.22
21,66,AKHILESH KUMAR PRAJAPATI,Peoples Party of India (Democratic),991,3,994,0.54
22,66,AJAY KUMAR KUSHWAHA,Jan Adhikar Party,207,1,208,0.11
23,66,Amit Tiwari (LALA Bhai),Bharatiya Jan Morcha Party,165,0,165,0.09
24,66,ASHISH KUSHWAHA,Bhartiya Shakti Chetna Party,200,0,200,0.11
25,66,BALKRISHNA YADAV,Samajwadi Party,289,0,289,0.16
26,66,Rameshvar Prasad Patel,Akhil Bhartiya Apna Dal,132,0,132,0.07
27,66,SHASHI SATYENDRA SHARMA,Vindhya Janta Party,301,4,305,0.16
28,66,GAURISHANKAR TRIVENI PRASAD TIWARI,Independent,290,0,290,0.16
29,66,BABA CHHOTE LAL NAT,Independent,207,0,207,0.11
30,66,Mo. Nasim,Independent,338,0,338,0.18
31,66,NEELAM-PUSHPENDRA PANDEY,Independent,1319,2,1321,0.71
32,66,Ramsufal Kewat,Independent,1065,0,1065,0.58
33,66,Er. Virendra Kumar Patel,Independent,998,0,998,0.54
34,66,SURAJ IS GOD,Independent,525,0,525,0.28
35,66,NOTA,None of the Above,1377,2,1379,0.74
36,123,KAMLESH PRATAP SHAH,Indian National Congress,108997,768,109765,48.35
37,123,MONIKA MANMOHAN SHAH BATTI,Bharatiya Janata Party,84407,272,84679,37.3
38,123,DEVIRAM BHALAVI,Gondvana Gantantra Party,18179,52,18231,8.03
39,123,ADVOCATE RAJKUMAR SARYAM,Janseva Gondwana Party,1177,4,1181,0.52
40,123,BHURELAL SARYAM,Independent,1377,0,1377,0.61
41,123,RAMPRASAD INVATI,Independent,721,1,722,0.32
42,123,VINOD DHURVE,Independent,903,2,905,0.4
43,123,Shivpratap Singh Thakur,Independent,1489,1,1490,0.66
44,123,SANTLAL PARTETI (ADVOCATE),Independent,3674,7,3681,1.62
45,123,NOTA,None of the Above,4997,6,5003,2.2
46,166,Dr.GANGARAM JOGCHAND,Bahujan Samaj Party,1688,6,1694,0.85
47,166,MADHAV SINGH (MADHU GEHLOT),Bharatiya Janata Party,101661,515,102176,51.46
48,166,VIPIN WANKHEDE,Indian National Congress,88433,741,89174,44.91
49,166,KAILASH MALVIYA,Samajwadi Party,1239,3,1242,0.63
50,166,AMIT PATHROD,Independent,275,1,276,0.14
51,166,Dr. JAGDISH PEERULAL MALVIYA,Independent,269,2,271,0.14
52,166,PREMNARAYAN MALVIYA,Independent,348,0,348,0.18
53,166,MOHAN BODANA,Independent,1122,1,1123,0.57
54,166,SURESH MALVIYA,Independent,777,1,778,0.39
55,166,NOTA,None of the Above,1487,4,1491,0.75
56,130,MANOJ MALVE,Indian National Congress,73891,717,74608,44.21
57,130,Dr. Yogesh Pandagre,Bharatiya Janata Party,86304,422,86726,51.4
58,130,RUPESH PANDOLE,Bahujan Mukti Party,1166,1,1167,0.69
59,130,Ranjana Wamne Vakil,Gondvana Gantantra Party,1603,6,1609,0.95
60,130,JOSUAA GANESH ATULKAR,Independent,314,1,315,0.19
61,130,SADARAM JHARBADE,Independent,537,2,539,0.32
62,130,HARIPLAL BIHARE,Independent,1008,2,1010,0.6
63,130,NOTA,None of the Above,2761,8,2769,1.64
64,32,JAJPAL SINGH ''JAJJI'',Bharatiya Janata Party,77484,323,77807,45.03
65,32,DHANPAL BERKHEDI,Bahujan Samaj Party,3037,18,3055,1.77
66,32,HARIBABOO RAI,Indian National Congress,85316,864,86180,49.87
67,32,GANESHRAM AHIRWAR,Aazad Samaj Party (Kanshi Ram),2357,3,2360,1.37
68,32,DEVENDRA BIJAURE,Socialist Unity Centre Of India (COMMUNIST),334,2,336,0.19
69,32,TULSIRAM AHIRWAR,Independent,112,0,112,0.06
70,32,NARENDRA SINGH,Independent,187,0,187,0.11
71,32,BUNDEL SINGH,Independent,192,0,192,0.11
72,32,SURENDRA SINGH,Independent,327,1,328,0.19
73,32,HANMANT SINGH PARIHAR,Independent,492,0,492,0.28
74,32,HARIOM JATAV,Independent,356,0,356,0.21
75,32,NOTA,None of the Above,1384,10,1394,0.81
76,87,BISAHU LAL SINGH,Bharatiya Janata Party,76692,418,77110,55.13
77,87,RAMESH KUMAR SINGH,Indian National Congress,55778,913,56691,40.53
78,87,SUDAMA KOL,Bahujan Samaj Party,2455,25,2480,1.77
79,87,GUNJAANSINGH,Independent,553,7,560,0.4
80,87,RAJENDRA PRASAD KOL,Independent,861,4,865,0.62
81,87,NOTA,None of the Above,2150,12,2162,1.55
82,202,"BHANWARSINGH SHEKHAWAT ""BABU JI""",Indian National Congress,92945,788,93733,49.79
83,202,RAJVARDHANSINGH PREM SINGH DATTIGAON,Bharatiya Janata Party,90162,595,90757,48.21
84,202,ISHWARSINGH CHAWDA,Independent,1030,9,1039,0.55
85,202,JITENDRA SINGH CHOUHAN,Independent,347,3,350,0.19
86,202,BHAMARSINGH URF BHANWARSINGH SHEKHAWAT,Independent,270,6,276,0.15
87,202,MANGILAL VASUNIYA,Independent,719,3,722,0.38
88,202,NOTA,None of the Above,1359,9,1368,0.73
89,218,JITENDRA UDAY SINGH PANDYA,Bharatiya Janata Party,80403,325,80728,46.96
90,218,NiRBHAy SiNGH CHANDRAVANSHi,Bahujan Samaj Party,3302,5,3307,1.92
91,218,MURLI MORWAL,Indian National Congress,43732,303,44035,25.62
92,218,KIshor Malviya,Independent,722,3,725,0.42
93,218,PRAKASH GOUD,Independent,10458,22,10480,6.1
94,218,RAJENDRA SINGH SOLANKI,Independent,30900,105,31005,18.04
95,218,NOTA,None of the Above,1620,4,1624,0.94
96,9,ARVIND BHADORIA,Bharatiya Janata Party,48819,495,49314,32.27
97,9,HARI SHANKAR FHOGI,Bahujan Samaj Party,18690,97,18787,12.29
98,9,HEMANT SATYADEV KATARE,Indian National Congress,68607,935,69542,45.51
99,9,OM PRAKASH JAREHA,Peoples Party of India (Democratic),502,5,507,0.33
100,9,POOJA-HEERENDRA PRATAP (PUR),Aazad Samaj Party (Kanshi Ram),289,3,292,0.19
101,9,MUNNA SINGH BHADOURIA,Samajwadi Party,10208,80,10288,6.73
102,9,ANIL SINGH,Independent,70,0,70,0.05
103,9,ABHISHEK MISHRA,Independent,30,0,30,0.02
104,9,ARVIND TYAGI,Independent,53,1,54,0.04
105,9,ARUN KATARE,Independent,28,3,31,0.02
106,9,ASHOK SINGH,Independent,96,1,97,0.06
107,9,ASHA RAM,Independent,236,1,237,0.16
108,9,UMESH GARG,Independent,89,1,90,0.06
109,9,KESHAV SINGH GURJAR,Independent,169,0,169,0.11
110,9,CHANDRAVEER SINGH KUSHWAH,Independent,108,1,109,0.07
111,9,CHANDRA PRAKASH SHARMA,Independent,563,0,563,0.37
112,9,DHARMENDRA TIWARI,Independent,215,0,215,0.14
113,9,DHARMENDRA SINGH MOURYA,Independent,124,0,124,0.08
114,9,NARENDRA SINGH BANSAL,Independent,262,0,262,0.17
115,9,NAVAL SINGH,Independent,60,0,60,0.04
116,9,PAN SINGH,Independent,79,0,79,0.05
117,9,PANKAJ SHARMA,Independent,59,0,59,0.04
118,9,BRAJENDER SINGH,Independent,26,0,26,0.02
119,9,MAHESH KUMAR,Independent,30,1,31,0.02
120,9,MAHESH SINGH YADAV,Independent,54,0,54,0.04
121,9,MEERA DEVI,Independent,58,0,58,0.04
122,9,RAVI BAGHEL,Independent,230,1,231,0.15
123,9,RAJ KISHOR SHARMA,Independent,79,0,79,0.05
124,9,RAJEEV,Independent,43,0,43,0.03
125,9,RADHAMOHAN,Independent,83,0,83,0.05
126,9,RAMDAS GURJAR,Independent,71,1,72,0.05
127,9,RAMVILASH,Independent,214,0,214,0.14
128,9,RAHUL SHARMA,Independent,167,0,167,0.11
129,9,VIJAY SINGH KUSHVAH,Independent,40,1,41,0.03
130,9,VINOD KUMAR JATAV,Independent,129,0,129,0.08
131,9,SATYA PRAKASH PATHAK,Independent,35,0,35,0.02
132,9,SATENDRA SINGH BHADORIYA (CHACHA),Independent,370,1,371,0.24
133,9,SUNEEL KUMAR,Independent,34,0,34,0.02
134,9,NOTA,None of the Above,164,4,168,0.11
135,157,KAMAL SINGH CHAUHAN,Indian National Congress,109625,1222,110847,47.08
136,157,GOPAL SINGH ENGINEER,Bharatiya Janata Party,117778,972,118750,50.44
137,157,BADRILAL KATARIA,Bahujan Samaj Party,1847,7,1854,0.79
138,157,AJAY PARMAR,Aazad Samaj Party (Kanshi Ram),887,0,887,0.38
139,157,AMBARAM MALVIYA,Samajwadi Party,261,3,264,0.11
140,157,KAMALSINGH JANGDHA,Rashtriya Jan Awaz Party,454,5,459,0.19
141,157,SOBHAL SISODIYA,Samata Samadhan Party,145,0,145,0.06
142,157,NARESH CHANDRA SURYAVANSHI,Independent,277,1,278,0.12
143,157,SANTOSH KUMAR DAMDIYA,Independent,472,2,474,0.2
144,157,NOTA,None of the Above,1458,9,1467,0.62
145,180,ARCHANA DIDI,Bharatiya Janata Party,99680,717,100397,40.67
146,180,BHAIYYA SAHEB SUNIL NAYKE,Bahujan Samaj Party,1362,16,1378,0.56
147,180,"THAKUR SURENDRA SINGH ""SHERA BHAIYA""",Indian National Congress,68586,640,69226,28.04
148,180,UMAR MAKNIC,Jai Prakash Janata Dal,518,3,521,0.21
149,180,DATTU VASANT MEDHE,Aazad Samaj Party (Kanshi Ram),833,8,841,0.34
150,180,DHRUVRAJ DEVANAND TAYADE,Vanchit Bahujan Aaghadi,321,3,324,0.13
151,180,NAFEES MANSHA,All India Majlis-E-Ittehadul Muslimeen,33792,61,33853,13.71
152,180,DADA SAHEB WAMANRAO SASANE,Bahujan Mukti Party,475,8,483,0.2
153,180,KAILASH WAGHE,Independent,248,4,252,0.1
154,180,BHIKA PASI,Independent,245,5,250,0.1
155,180,HINDU NETA BHUSHAN NANDKISHOR PATHAK,Independent,547,0,547,0.22
156,180,"MOHAMMAD HANIF SHAIKH RAUF (ADVOCATE) ""HANNU DADA""",Independent,751,1,752,0.3
157,180,"HARSHVARDHAN NANDKUMAR SINGH CHOUHAN ""HARSHU BHAIYA''",Independent,35093,342,35435,14.36
158,180,NOTA,None of the Above,2561,22,2583,1.05
159,156,VIKRAM MASTAL SHARMA,Indian National Congress,59466,511,59977,25.71
160,156,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,163823,1128,164951,70.7
161,156,DINESH AZAD,Aazad Samaj Party (Kanshi Ram),2360,3,2363,1.01
162,156,DHARMENDRA SINGH PANWAR (GOLU JANPAD),Right to Recall Party,378,5,383,0.16
163,156,OBC PRAHALAD-CHAURASIA,Gondvana Gantantra Party,424,5,429,0.18
164,156,MAHAMANDLESWAR SWAMI VAIRAGYANAND,Samajwadi Party,136,0,136,0.06
165,156,ABDUL RASHED,Independent,103,0,103,0.04
166,156,CHOTELAL,Independent,114,3,117,0.05
167,156,PRAMNARAYAN,Independent,233,4,237,0.1
168,156,BRIJMOHAN DHURVE,Independent,1440,11,1451,0.62
169,156,VIJAY NANDAN,Independent,487,1,488,0.21
170,156,HEMRAJ PETHARI,Independent,974,5,979,0.42
171,156,NOTA,None of the Above,1693,7,1700,0.73
172,35,ADV. NIRMLA SAPRE,Indian National Congress,72056,402,72458,50.43
173,35,MAHESH RAI,Bharatiya Janata Party,66016,287,66303,46.15
174,35,RAMENDRA AHIRWAR,Bahujan Samaj Party,2065,7,2072,1.44
175,35,AHIRWAR DEEPAK KUMAR,Samajwadi Party,401,1,402,0.28
176,35,JEEVAN,Independent,131,2,133,0.09
177,35,DASHRATH,Independent,130,0,130,0.09
178,35,NEELESH SINGH PAWAR,Independent,335,2,337,0.23
179,35,RAMSINGH CHADAR,Independent,603,2,605,0.42
180,35,NOTA,None of the Above,1233,6,1239,0.86
181,52,AMIT BHATNAGAR,Aam Aadmi Party,4179,6,4185,2.49
182,52,Advocate- CHARAN SINGH YADAV,Indian National Congress,55506,255,55761,33.24
183,52,MAHENDRA KUMAR GUPTA,Bahujan Samaj Party,10418,25,10443,6.23
184,52,BABLU RAJESH SHUKLA,Bharatiya Janata Party,87950,273,88223,52.59
185,52,CHETRAM AHIRWAR,Aazad Samaj Party (Kanshi Ram),1880,5,1885,1.12
186,52,PARAM LAL PATEL,Bhartiya Shakti Chetna Party,456,1,457,0.27
187,52,RISHI RAJ YADAV,Samajwadi Aam Janata Dal,626,1,627,0.37
188,52,LEELADHAR RAJPOOT,Bharatiya Sabhyata Party,345,0,345,0.21
189,52,CHARAN SINGH YADAV,Independent,294,0,294,0.18
190,52,JAGDISH SHIMAL KUSHWAHA,Independent,961,2,963,0.57
191,52,JAGDISH PRASAD MISHRA,Independent,480,0,480,0.29
192,52,BHAGIRATH TIWARI JASGUWAN,Independent,839,2,841,0.5
193,52,Mohammad. FAREED,Independent,988,0,988,0.59
194,52,AHIRWAR RAMDEVI,Independent,817,1,818,0.49
195,52,NOTA,None of the Above,1431,2,1433,0.85
196,105,NARAYAN SINGH PATTA,Indian National Congress,88174,1048,89222,41.68
197,105,Dr. VIJAY ANAND MARAVI,Bharatiya Janata Party,77905,252,78157,36.51
198,105,Engg. KAMLESH TEKAM,Gondvana Gantantra Party,38998,117,39115,18.27
199,105,VINEET TOPPO,Independent,1589,3,1592,0.74
200,105,SUNIL UIKEY,Independent,1566,3,1569,0.73
201,105,NOTA,None of the Above,4416,4,4420,2.06
202,161,NARAYAN SiNGH PANWAR,Bharatiya Janata Party,117055,791,117846,57.61
203,161,PURUSHOTTAM DANGI,Indian National Congress,80599,1036,81635,39.91
204,161,RiTiK YADAV,Bahujan Samaj Party,1756,14,1770,0.87
205,161,UDAY SINGH JATAV,Aazad Samaj Party (Kanshi Ram),574,4,578,0.28
206,161,KAMLESH GUPTA,Parivartan Party of India,158,1,159,0.08
207,161,ANKIT KUMAR,Independent,291,0,291,0.14
208,161,NARAYAN SiNGH S/O AMARCHAND,Independent,214,3,217,0.11
209,161,NARAYAN SiNGH S/O SHIVJIRAM,Independent,238,0,238,0.12
210,161,MUKESH JATAV,Independent,157,1,158,0.08
211,161,EN' RAVI KUMAR BADONIYA,Independent,239,2,241,0.12
212,161,HEMRAJ PRAJAPATi,Independent,378,2,380,0.19
213,161,NOTA,None of the Above,1046,5,1051,0.51
214,150,ATIF ARIF AQUEEL,Indian National Congress,95736,389,96125,56.38
215,150,ALOK SHARMA,Bharatiya Janata Party,68650,488,69138,40.55
216,150,MAHENDRA WANKHEDE,Bahujan Samaj Party,499,12,511,0.3
217,150,MOHAMMAD SAOOD,Aam Aadmi Party,723,12,735,0.43
218,150,PRAKASH NARVARE,Azad Samaj Party,197,0,197,0.12
219,150,PREM NARAYAN SWARNKAR (SONI JI),National World Leader Party,97,2,99,0.06
220,150,RAMDEEN BHAT,Bhartiya Shakti Chetna Party,29,2,31,0.02
221,150,Ataullah,Independent,67,0,67,0.04
222,150,ASHRAF ALI,Independent,80,1,81,0.05
223,150,AAMIR AQUEEL,Independent,1820,17,1837,1.08
224,150,NASIR ISLAM,Independent,545,5,550,0.32
225,150,MOHSIN ALI KHAN,Independent,64,0,64,0.04
226,150,WASEEM KHAN,Independent,67,0,67,0.04
227,150,RAJA BHAI (SHAHWAR),Independent,80,0,80,0.05
228,150,SURAYA,Independent,135,0,135,0.08
229,150,NOTA,None of the Above,766,8,774,0.45
230,153,ARIF MASOOD,Indian National Congress,81672,699,82371,54.33
231,153,UDHAM SINGH,Bahujan Samaj Party,533,27,560,0.37
232,153,DHRUV NARAYAN SINGH,Bharatiya Janata Party,65439,1041,66480,43.84
233,153,Mrs. DEEPA SAHU,Bhartiya Shakti Chetna Party,316,6,322,0.21
234,153,DURGA PRASAD,Parivartan Party of India,63,4,67,0.04
235,153,NEERAV HETAWAL,Bhartiya Gan Varta Party,38,0,38,0.03
236,153,SHAMA TANWEER,Aazad Samaj Party (Kanshi Ram),115,1,116,0.08
237,153,SYED AZHAR HUSAIN,Independent,30,0,30,0.02
238,153,ASHIF ALI,Independent,51,0,51,0.03
239,153,KESHAVRAO KOSE,Independent,43,0,43,0.03
240,153,ZEESHAN REHMAN,Independent,42,1,43,0.03
241,153,Advocate - Devendra Prakash Mishra,Independent,92,3,95,0.06
242,153,FAIZAL 3,Independent,99,1,100,0.07
243,153,Ram,Independent,98,1,99,0.07
244,153,RIZWAN UDDIN,Independent,60,0,60,0.04
245,153,NOTA,None of the Above,1126,25,1151,0.76
246,152,P.C. SHARMA (PRAKASH MANGEELAL SHARMA),Indian National Congress,58855,2001,60856,43.06
247,152,BHAGWANDAS SABNANI,Bharatiya Janata Party,75179,1510,76689,54.27
248,152,ADVOCATE SUDHIR UBNARE,Bahujan Samaj Party,1508,49,1557,1.1
249,152,KESHAV,National Jagaran Party,73,0,73,0.05
250,152,DINESH KUMAR JAIN,Rashtriya Jan Awaz Party,116,1,117,0.08
251,152,SURENDRA SHUKLA,Bhartiya Gan Varta Party,93,2,95,0.07
252,152,IRFAN ULLAH KHAN,Independent,248,4,252,0.18
253,152,PRAKASH SONVANE,Independent,45,3,48,0.03
254,152,PRADEEP KHANDELWAL,Independent,89,1,90,0.06
255,152,PRADEEP SAXENA,Independent,140,0,140,0.1
256,152,VIKAS SHARMA,Independent,204,4,208,0.15
257,152,NOTA,None of the Above,1161,28,1189,0.84
258,141,RAJKUMAR PATEL,Indian National Congress,77727,783,78510,38.3
259,141,SURENDRA PATWA,Bharatiya Janata Party,118737,552,119289,58.2
260,141,KAMLESH UIKE,Gana Suraksha Party,1988,6,1994,0.97
261,141,GUNDESH KUMAR KHAMBRA,Jai Lok Party,181,2,183,0.09
262,141,NAYANTARA DR. DHARMENDRA AHIRWAR,Aazad Samaj Party (Kanshi Ram),698,2,700,0.34
263,141,MONU,Akhand Bharat Samrajya Party,232,1,233,0.11
264,141,CAPTAIN ANIL KUMAR KHARE,Independent,149,0,149,0.07
265,141,CHANDAN SINGH,Independent,202,4,206,0.1
266,141,PHOOL KUMAR PRAJAPATI,Independent,275,0,275,0.13
267,141,MANOJ KUMAR CHAUBEY,Independent,195,0,195,0.1
268,141,MANOJ CHOUHAN,Independent,438,1,439,0.21
269,141,SEEMA PORTE,Independent,1066,2,1068,0.52
270,141,NOTA,None of the Above,1721,3,1724,0.84
271,18,KALICHARAN (PAPPu GuRJAR),Bahujan Samaj Party,3780,12,3792,2.07
272,18,MOHAN SINGH RATHORE,Bharatiya Janata Party,96626,374,97000,53.05
273,18,LAKHAN SINGH YADAV,Indian National Congress,74182,464,74646,40.82
274,18,BADAM SINGH BAGHEL,Samatamoolak Samaj Party,796,3,799,0.44
275,18,PROFESSOR VIJAY KUSHWAH,Jan Adhikar Party,922,3,925,0.51
276,18,SATENDRA SiNGH RAWAT,Aazad Samaj Party (Kanshi Ram),944,5,949,0.52
277,18,SANT RAJESWAR GIRI,Samajwadi Party,321,1,322,0.18
278,18,AGAR SINGH,Independent,180,0,180,0.1
279,18,CHAND KHAN,Independent,742,0,742,0.41
280,18,DHARMENDRA CHAUDHARI,Independent,676,3,679,0.37
281,18,MANMOHAN SHARMA,Independent,296,5,301,0.16
282,18,PANDIT RAM MUDGAL,Independent,311,0,311,0.17
283,18,Sushil Kumar Kushwah,Independent,530,2,532,0.29
284,18,SANJAY KUSHWAH,Independent,642,0,642,0.35
285,18,NOTA,None of the Above,1029,3,1032,0.56
286,10,NARENDRA SINGH KUSHWAH,Bharatiya Janata Party,65588,832,66420,40.96
287,10,CHAUDHARY RAKESH SINGH CHATURVEDI,Indian National Congress,50570,1704,52274,32.24
288,10,RAHUL SINGH KUSHWAH,Aam Aadmi Party,3032,24,3056,1.88
289,10,SANJEEV SINGH (SANJU),Bahujan Samaj Party,34583,355,34938,21.55
290,10,BABOORAM JAMOR,Aazad Samaj Party (Kanshi Ram),689,8,697,0.43
291,10,RAVISEN JAIN NETAJI,Samajwadi Party,226,11,237,0.15
292,10,REKHA MUNNA SHAKYA,All India Forward Bloc,128,5,133,0.08
293,10,SUBHASH CHAND KORKOO,Jai Prakash Janata Dal,93,0,93,0.06
294,10,HOSHIYAR SINGH (SHIVAM CHOUDHARY),Samatamoolak Samaj Party,114,0,114,0.07
295,10,ANIL SHARMA,Independent,220,0,220,0.14
296,10,APARN,Independent,81,2,83,0.05
297,10,KARAN SINGH RAJAWAT,Independent,135,0,135,0.08
298,10,KHEMSINGH,Independent,328,0,328,0.2
299,10,GUDIYA,Independent,178,0,178,0.11
300,10,DEEPSINGH,Independent,571,1,572,0.35
301,10,NARENDRA SINGH,Independent,741,0,741,0.46
302,10,PRADEEP SINGH BHADORIYA,Independent,512,0,512,0.32
303,10,MANOJ JAIN,Independent,216,0,216,0.13
304,10,MAMTA MISHRA,Independent,72,1,73,0.05
305,10,ADVOCATE MAHAVIR SINGH KUSHWAH,Independent,272,0,272,0.17
306,10,KU. RATNA KUSHWAH,Independent,103,1,104,0.06
307,10,ADVOCATE-RAJESH RAIPURIYA,Independent,78,0,78,0.05
308,10,DR. RAM KUMAR TRIPATHI (SITI),Independent,79,0,79,0.05
309,10,VIRENDRA VERMA,Independent,172,2,174,0.11
310,10,NOTA,None of the Above,413,9,422,0.26
311,181,JAVANSINGH SUKLAL MORE,Bahujan Samaj Party,2044,4,2048,1.06
312,181,SMT JHUMA DR DHYANSINGH SOLANKI,Indian National Congress,91838,297,92135,47.47
313,181,NANDA BRAHMNE,Bharatiya Janata Party,91398,134,91532,47.16
314,181,ASHVIN DHUPE,Bharat Adivasi Party,2520,6,2526,1.3
315,181,MOHANSINGH PATEL,Independent,2725,10,2735,1.41
316,181,SURESH MUJALDE (JAYAS),Independent,1296,5,1301,0.67
317,181,NOTA,None of the Above,1798,1,1799,0.93
318,21,GHANSHYAM PIRONIYA,Bharatiya Janata Party,52227,378,52605,37.62
319,21,PHOOL SINGH BARAIYA,Indian National Congress,81168,875,82043,58.67
320,21,CHAuDHARI RAJu DoHARE,Bahujan Samaj Party,1940,14,1954,1.4
321,21,RAMANI JATAV,Aam Aadmi Party,239,5,244,0.17
322,21,D.R. RAHUL,Samajwadi Party,366,4,370,0.26
323,21,ATAR SINGH,Independent,126,6,132,0.09
324,21,UDAL SINGH THAKUR (KHANGAR),Independent,183,5,188,0.13
325,21,RAKESH,Independent,270,2,272,0.19
326,21,SUSHIL-RADHEY SHYAM CHANDORIYA,Independent,845,0,845,0.6
327,21,NOTA,None of the Above,1168,7,1175,0.84
328,133,DHARMU SINGH SIRSAM,Indian National Congress,88982,726,89708,40.15
329,133,MAHENDRA SINGH KESHAR SINGH CHOUHAN,Bharatiya Janata Party,97584,354,97938,43.84
330,133,ANNULAL DADA,Gondvana Gantantra Party,2240,8,2248,1.01
331,133,RAHUL SATISH CHAUHAN,Prahar Janshakti Party,9576,27,9603,4.3
332,133,CHAITRAM KASDEKAR,Independent,2108,18,2126,0.95
333,133,RAMA- RATAN KAKODIA,Independent,936,6,942,0.42
334,133,SANDEEP DHURVE,Independent,10430,48,10478,4.69
335,133,HEMRAJ BARASKAR,Independent,5174,62,5236,2.34
336,133,NOTA,None of the Above,5125,6,5131,2.3
337,186,KEDAR CHIDABHAI DAWAR,Indian National Congress,98272,771,99043,49.8
338,186,CHANDAR SINGH WASKLE,Bharatiya Janata Party,86625,251,86876,43.68
339,186,RAKESH RAJARAM MANDLOI,Bahujan Samaj Party,1692,2,1694,0.85
340,186,CHHATAR SINGH MANDLOI,Independent,1174,5,1179,0.59
341,186,MOHAN VISHRAM KIRADE,Independent,5967,28,5995,3.01
342,186,VIJAY DALSINGH SOLANKI,Independent,1296,2,1298,0.65
343,186,NOTA,None of the Above,2804,2,2806,1.41
344,131,NILAY VINOD DAGA,Indian National Congress,92106,1544,93650,44.47
345,131,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,108229,954,109183,51.85
346,131,SHIVPAL SINGH RAJPUT,Gondvana Gantantra Party,889,6,895,0.43
347,131,ALSYA SOLANKI MAMA,Independent,368,4,372,0.18
348,131,JOSUAA GANESH,Independent,151,0,151,0.07
349,131,NARAYAN PAWAR,Independent,121,1,122,0.06
350,131,PAWAN KUMAR,Independent,68,2,70,0.03
351,131,PRAVEEN VAMNKER,Independent,164,4,168,0.08
352,131,MAHESH SHAH UIKEY,Independent,568,4,572,0.27
353,131,RAJU CHARPE,Independent,143,1,144,0.07
354,131,ROSHAN KUMAR ATULKAR,Independent,226,2,228,0.11
355,131,VIJENDRA GOLE,Independent,802,0,802,0.38
356,131,HEMANT SARIYAM,Independent,1161,5,1166,0.55
357,131,NOTA,None of the Above,3028,21,3049,1.45
358,149,JAYSHREE HARIKARAN,Indian National Congress,81772,675,82447,41.78
359,149,VISHNU KHATRI,Bharatiya Janata Party,107267,577,107844,54.65
360,149,MASTAR VISHRAM SINGH AHIRWAR (BOUDDH),Bahujan Samaj Party,2564,31,2595,1.31
361,149,JAY SINGH,National World Leader Party,570,1,571,0.29
362,149,NEELESH MEHAR,Bhartiya Veer Dal,450,2,452,0.23
363,149,PRAKASH,Parivartan Party of India,214,1,215,0.11
364,149,AHIRWAR VINOD,Aazad Samaj Party (Kanshi Ram),495,4,499,0.25
365,149,SANTOSH AHIRWAR,Rashtriya mahan Gantantra Party,296,1,297,0.15
366,149,SHIV NARAYAN AHIRWAR URF (SHIBBU BHAIYA),Independent,601,3,604,0.31
367,149,NOTA,None of the Above,1819,10,1829,0.93
368,83,RAMLAKHAN SINGH,Indian National Congress,75274,1060,76334,36.44
369,83,SHARAD JUGLAL KOL,Bharatiya Janata Party,102542,274,102816,49.09
370,83,DEVIDEEN BAIGA,Sapaks Party,3229,2,3231,1.54
371,83,PURUSHOTTAM SINGH MARAVI,Gondvana Gantantra Party,21256,23,21279,10.16
372,83,RAMDARASH MAJHI,Peoples Party of India (Democratic),1991,2,1993,0.95
373,83,NOTA,None of the Above,3796,4,3800,1.81
374,145,NISHANK JAIN,Indian National Congress,70159,896,71055,40.55
375,145,RUKSAD BEE,Bahujan Samaj Party,958,15,973,0.56
376,145,"HARISINGH RAGHUWANSHI ""BADDA""",Bharatiya Janata Party,98064,658,98722,56.33
377,145,ASHOK LALARAM KUSHWAH,Vastavik Bharat Party,1784,3,1787,1.02
378,145,MOKAM SINGH KUSHWAH,Jan Adhikar Party,337,2,339,0.19
379,145,CHUNNILAL VIJAY KUSHWAH,Independent,494,0,494,0.28
380,145,NIRVESH MEENA,Independent,783,1,784,0.45
