Constituency,Constituency NO,Winning Candidate,Party,Total Votes,Margin,Round
Naryoli,40,Er. PRADEEP LARIYA,Bharatiya Janata Party,88202,14412,20
Neemuch,229,DILIP SINGH PARIHAR,Bharatiya Janata Party,105290,26283,20
Nepanagar ,179,MANJU RAJENDRA DADU,Bharatiya Janata Party,113400,44805,22
Niwari,46,ANIL JAIN,Bharatiya Janata Party,54186,17157,14
Niwas,106,CHAINSINGH WARKADE,Indian National Congress,99644,9723,19
Panagar,101,SUSHIL KUMAR TIWARI (INDU BHAIYA),Bharatiya Janata Party,119071,40541,18
Pandhana ,178,CHAYA MORE,Bharatiya Janata Party,123332,28816,22
Pandhurna,128,NEELESH PUSARAM UIKEY,Indian National Congress,90944,10457,19
Panna ,60,Brijendra Pratap Singh,Bharatiya Janata Party,96668,17910,21
Pansemal,189,SHYAM BARDE,Bharatiya Janata Party,97181,13442,16
Parasia,127,SOHANLAL BALMIK,Indian National Congress,88227,2168,18
Paraswada,110,Madhu Bhau Bhagat,Indian National Congress,100992,25948,19
Patan ,95,AJAY VISHNOI,Bharatiya Janata Party,113223,30255,17
Pathariya ,54,LAKHAN PATEL,Bharatiya Janata Party,82603,18159,21
Pawai,58,PRAHLAD LODHI,Bharatiya Janata Party,106411,22043,24
Petlawad,195,NIRMALA DILEEPSINGH BHURIA,Bharatiya Janata Party,101512,5647,23
Pichhore,26,PREETAM LODHI,Bharatiya Janata Party,121228,21882,19
Pipariya,139,THAKURDAS NAGWANSHI,Bharatiya Janata Party,107372,30523,20
Pohari ,24,KAILASH KUSHWAH,Indian National Congress,99739,49481,19
Prithvipur,45,NITENDRA BRAJENDRA SINGH RATHORE,Indian National Congress,85739,1831,14
Pushprajgarh,88,PHUNDELAL SINGH MARKO,Indian National Congress,68020,4486,20
Raghogarh,31,JAIVARDHAN SINGH,Indian National Congress,95738,4505,20
Raigaon,62,Pratima Bagri,Bharatiya Janata Party,77626,36060,19
Rajgarh ,162,AMAR SINGH YADAV,Bharatiya Janata Party,104032,22539,20
Rajnagar,50,ARVIND PATERIYA,Bharatiya Janata Party,69698,5867,18
Rajpur,188,BALA BACHCHAN,Indian National Congress,100333,890,17
Rampur-Baghelan,67,VIKRAM SINGH (VICKY),Bharatiya Janata Party,85287,22581,18
Ratlam City,220,"CHETANYA KASYAP ""BHAIYYAJI""",Bharatiya Janata Party,109656,60708,19
Ratlam Rural,219,MATHURA LAL DAMAR,Bharatiya Janata Party,102968,34324,18
Rau,210,MADHU VERMA,Bharatiya Janata Party,151672,35522,23
Rehli,39,GOPAL BHARGAVA,Bharatiya Janata Party,130916,72800,22
Rewa,74,RAJENDRA SHUKLA,Bharatiya Janata Party,77680,21339,18
Sabalagadh ,3,Smt. Sarla vijendra Rawat,Bharatiya Janata Party,66787,9805,19
Sagar ,41,SHALENDRA KUMAR JAIN,Bharatiya Janata Party,74769,15021,18
Sailana ,221,KAMLESHWAR DODIYAR,Bharat Adivasi Party,71219,4618,19
Sanchi ,142,DR. PRABHURAM CHOUDHARY,Bharatiya Janata Party,122960,44273,19
Sanwer,211,TULSIRAM SILAWAT,Bharatiya Janata Party,151048,68854,20
Sarangpur,164,GOTAM TETWAL,Bharatiya Janata Party,97095,23054,18
Sardarpur,196,PRATAP GREWAL,Indian National Congress,86114,4128,21
Satna,63,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,70638,4041,20
Saunsar,125,VIJAY REVNATH CHORE,Indian National Congress,92509,11542,18
Sehore,159,SUDESH RAI,Bharatiya Janata Party,105997,37851,19
Semariya,69,ABHAY MISHRA,Indian National Congress,56024,637,19
Sendhawa,187,MONTU SOLANKI,Indian National Congress,106136,1677,15
Seoni,115,DINESH RAI MUNMUN,Bharatiya Janata Party,116795,18418,17
Seoni-Malwa,136,PREMSHANKAR KUNJILAL VERMA,Bharatiya Janata Party,103882,36014,21
Sewda,20,PRADEEP AGRAWAL,Bharatiya Janata Party,43834,2558,12-Dec
Shahpura,103,OMPRAKASH DHURWEY,Bharatiya Janata Party,84844,5617,26
Shajapur ,167,ARUN BHIMAWAD,Bharatiya Janata Party,98960,28,20
Shamshabad,148,SURYA PRAKASH MEENA,Bharatiya Janata Party,87234,19264,18
Sheopur,1,BABU JANDEL,Indian National Congress,96844,11130,24
Shivpuri,25,DEVENDRA KUMAR JAIN 'PATTE WALE',Bharatiya Janata Party,112324,43030,19
Shujalpur,168,Inder Singh Parmar,Bharatiya Janata Party,96054,13660,19
Sidhi,77,Riti Pathak,Bharatiya Janata Party,88664,35418,20
